x,fit,Maximizacion,Minimizacion,Factibilidad,a1,a2,epsilonConstraint
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[2, 0, 25, 2, 30]",2142,2142,2372,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,0.5,3000
