x,fit,Maximizacion,Minimizacion,Factibilidad,a1,a2,epsilonConstraint
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1.5,5000
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1.5,5000
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1.5,5000
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1.5,5000
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1.5,5000
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1.5,5000
"[15, 0, 25, 0, 30]",2930,2930,4380,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
"[15, 0, 25, 4, 30]",3174,3174,4784,True,2,1.5,5000
