x,fit,Maximizacion,Minimizacion,Factibilidad,a1,a2,epsilonConstraint
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,1,3000
"[0, 0, 25, 0, 30]",1880,1880,1830,True,1,1,3000
"[0, 0, 25, 0, 30]",1880,1880,1830,True,1,1,3000
"[6, 0, 25, 0, 30]",2300,2300,2850,True,1,1,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,1,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,1,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,1,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,1,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,1,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,1,3000
"[4, 0, 25, 4, 30]",2404,2404,2914,True,1,1,3000
"[1, 0, 25, 4, 30]",2194,2194,2404,True,1,1,3000
"[1, 0, 25, 4, 30]",2194,2194,2404,True,1,1,3000
"[1, 0, 25, 4, 30]",2194,2194,2404,True,1,1,3000
"[4, 0, 25, 0, 30]",2160,2160,2510,True,1,1,3000
"[5, 0, 25, 0, 28]",2188,2188,2658,True,1,1,3000
